,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
560,2741277363,_idgi_,en,Wed Aug 13 00:06:15 +0000 2014,,1195,1452,8189
563,588986395,RodThaImpaler,en,Thu May 24 09:27:28 +0000 2012,Eastern Time (US & Canada),20681,14032,18629
567,139510761,Whizbuzz,en,Sun May 02 21:16:22 +0000 2010,Greenland,116018,68274,36525
572,326572285,orsoraggiante,en,Thu Jun 30 04:01:49 +0000 2011,Central Time (US & Canada),4838,78,77998
575,2575202520,VMConnectors,en,Wed Jun 18 17:32:50 +0000 2014,,1626,1444,375
581,832072700,tchlrnchnge,en,Tue Sep 18 23:12:55 +0000 2012,Eastern Time (US & Canada),194,149,667
589,58224855,JasonLFleetwood,en,Sun Jul 19 15:56:31 +0000 2009,Pretoria,28230,21424,10281
590,2972310051,AvivaGoldfarb,en,Sun Jan 11 01:03:21 +0000 2015,,377,532,1537
597,27427741,G6Chronicles,en,Sun Mar 29 14:02:42 +0000 2009,Eastern Time (US & Canada),11620,9352,32045
606,3396670989,RK_Rajpal,en,Fri Jul 31 06:25:11 +0000 2015,New Delhi,1017,2250,1072
615,14298547,wobbles,en,Fri Apr 04 01:09:53 +0000 2008,Mountain Time (US & Canada),345,1286,10044
623,3934894407,lewisnunn2001,en,Mon Oct 12 07:05:17 +0000 2015,,1268,5001,156
625,92027622,CIFOR,en,Mon Nov 23 14:16:17 +0000 2009,Jakarta,26480,2027,16923
631,214645497,NYbyGehry,en,Thu Nov 11 22:11:52 +0000 2010,Central Time (US & Canada),2732,667,1036
642,1328976522,Dc_suitcasegirl,en,Fri Apr 05 11:30:28 +0000 2013,Dublin,885,874,32012
649,472396159,JamalSack,en,Mon Jan 23 22:19:40 +0000 2012,London,26,108,51
658,193141454,LordJezzus,en,Tue Sep 21 02:12:52 +0000 2010,Central Time (US & Canada),8133,8137,21827
668,353592234,FTFCCommercial,en,Fri Aug 12 09:47:53 +0000 2011,Amsterdam,1650,1009,4049
669,1517235224,CPSDTech,en,Fri Jun 14 18:30:18 +0000 2013,Eastern Time (US & Canada),178,329,323
679,181713969,ericfeunekes,en,Sun Aug 22 22:01:02 +0000 2010,,691,703,1094
680,16379892,HomebizTrainer,en,Sat Sep 20 17:45:10 +0000 2008,Pacific Time (US & Canada),130680,104042,20735
684,4191457934,4DSpaceTime,en,Tue Nov 10 15:10:12 +0000 2015,,40,136,15
709,82768049,UniversityVW,en,Fri Oct 16 01:44:42 +0000 2009,Pacific Time (US & Canada),4081,3709,13478
717,44385241,LadiesFootball,en,Wed Jun 03 15:47:49 +0000 2009,Dublin,15859,1774,12182
722,19649135,FAOnews,en,Wed Jan 28 12:33:35 +0000 2009,Rome,177214,63467,21976
737,317327921,obsessedcackle,en,Tue Jun 14 19:33:15 +0000 2011,Central Time (US & Canada),2969,3277,4607
742,14935192,CindyWMorrison,en,Wed May 28 16:32:23 +0000 2008,Central Time (US & Canada),27214,29715,42436
745,276817112,YaBoyBoober,en,Mon Apr 04 04:12:48 +0000 2011,Pacific Time (US & Canada),130344,73935,15763
746,618207661,ExitRealtyAssoc,en,Mon Jun 25 15:53:30 +0000 2012,,561,475,1316
752,2827093988,Theatomixs,en,Mon Sep 22 23:33:42 +0000 2014,Pacific Time (US & Canada),90,343,2453
775,1601553546,BakkenCom,en,Wed Jul 17 18:39:01 +0000 2013,Central Time (US & Canada),6329,4189,11224
799,378257375,mrpe2,en,Thu Sep 22 22:20:58 +0000 2011,Hawaii,997,451,3102
812,514581052,LucasLiantzakis,en,Sun Mar 04 17:48:09 +0000 2012,,51,176,333
822,30227507,tonyleen,en,Fri Apr 10 14:38:31 +0000 2009,Casablanca,13842,2681,14754
844,3021554315,freeknife1021,en,Fri Feb 06 14:46:00 +0000 2015,Belgrade,10720,10392,1368
845,283824663,AshiLabouisse,en,Mon Apr 18 03:06:48 +0000 2011,Pacific Time (US & Canada),91150,65097,33481
856,29780938,ScrubIsland,en,Wed Apr 08 18:22:38 +0000 2009,Eastern Time (US & Canada),10511,6632,3907
857,18164805,davidburkus,en,Tue Dec 16 15:57:52 +0000 2008,Mountain Time (US & Canada),33886,33491,12320
858,113924568,ELeducation,en,Sat Feb 13 13:49:29 +0000 2010,Eastern Time (US & Canada),4847,1553,4799
862,1382716730,morgantownwings,en,Fri Apr 26 19:36:36 +0000 2013,,6099,6709,2172
879,4249822639,Daliy_Polls,en,Sun Nov 15 21:42:25 +0000 2015,,58,425,25
894,189554197,BluKatDesign,en,Sat Sep 11 15:50:01 +0000 2010,Pacific Time (US & Canada),30388,26219,61598
896,324741602,Burnam1,en,Mon Jun 27 04:11:24 +0000 2011,,1542,1561,4953
897,412737996,tjenkinsreid,en,Tue Nov 15 02:37:52 +0000 2011,Alaska,3390,2386,4623
902,498119744,LOC_ENT,en,Mon Feb 20 18:18:11 +0000 2012,Eastern Time (US & Canada),4027,3719,1721
904,2332526420,Gametime_LA,en,Fri Feb 07 23:09:24 +0000 2014,Arizona,9581,9416,1677
907,304972712,EEN_EU,en,Wed May 25 12:34:20 +0000 2011,Brussels,13407,1275,3195
915,14055444,TrentDyrsmid,en,Thu Feb 28 16:44:28 +0000 2008,Mountain Time (US & Canada),8437,1120,15489
920,292509855,LaboredMN,en,Tue May 03 19:26:29 +0000 2011,Central Time (US & Canada),431,199,710
924,17938345,will_fox,en,Sun Dec 07 08:06:48 +0000 2008,London,17909,15789,3445
