,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
21226,22376224,jblumy,en,Sun Mar 01 16:19:25 +0000 2009,Atlantic Time (Canada),102,245,163
21234,344336841,OrellanaAlan,en,Thu Jul 28 22:26:12 +0000 2011,Central Time (US & Canada),207,1306,3961
21303,1289069586,ScottWainwright,en,Fri Mar 22 16:18:21 +0000 2013,,376,404,3398
21420,225505870,iamdibakardatta,en,Sat Dec 11 18:51:02 +0000 2010,Central Time (US & Canada),80,505,103
21454,736177760,Arash3377,en,Sat Aug 04 05:51:37 +0000 2012,,38,290,22
21459,2434618518,samderveen,en,Wed Apr 09 00:27:11 +0000 2014,,423,384,368
21513,63286648,AC_Oliveira,en,Wed Aug 05 22:56:08 +0000 2009,,294,2026,427
21579,502739571,florence_osuma,en,Sat Feb 25 09:16:09 +0000 2012,,127,410,3586
21699,558309016,adrianfrias5,en,Fri Apr 20 04:08:53 +0000 2012,,151,1259,1547
21784,3308824120,SimeonDiggs,en,Fri Jun 05 00:11:09 +0000 2015,Eastern Time (US & Canada),33,218,59
21788,3076153043,redorancircle,en,Fri Mar 06 23:50:17 +0000 2015,,27,530,24
21846,97353431,NayabAhmed11,en,Thu Dec 17 03:33:30 +0000 2009,Central Time (US & Canada),1009,204,4706
21878,211950020,Lamees_AlArab,en,Thu Nov 04 18:40:37 +0000 2010,Kuwait,489,484,5564
22024,126126365,sarahvorhaus,en,Wed Mar 24 22:40:50 +0000 2010,Quito,651,506,1171
22119,19197092,navidhassanpour,en,Mon Jan 19 19:20:41 +0000 2009,Eastern Time (US & Canada),354,189,379
22173,465103815,KelliAnnBragass,en,Sun Jan 15 23:53:15 +0000 2012,,29,109,22
22366,3388316385,OGmuma,en,Thu Jul 23 01:36:40 +0000 2015,,67,143,109
22430,3276941130,madalyn31103,en,Sun Jul 12 02:46:56 +0000 2015,,63,521,35
22447,3256784934,diding_rahmat,en,Fri Jun 26 16:23:30 +0000 2015,,71,659,261
22537,110763694,zelley910,en,Tue Feb 02 17:57:40 +0000 2010,Mountain Time (US & Canada),106,247,1189
22716,351282718,msubbums,en,Tue Aug 09 01:25:42 +0000 2011,,35,439,26
