,id_str,created_at,retweet_count,favorite_count,text
158,667390343101321216,Thu Nov 19 17:13:51 +0000 2015,0,0,"RT: @nine2fivehealth is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
159,667374019977461760,Thu Nov 19 16:09:00 +0000 2015,0,0,"RT: @iAmDejLoaf @LordOluRichard is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
160,667357652825968642,Thu Nov 19 15:03:57 +0000 2015,0,0,"RT: @bodebyjyqoza is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
161,667357650879844352,Thu Nov 19 15:03:57 +0000 2015,0,0,"RT: @FLTripGuides @TiwaSavageNG is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
162,667341523160141824,Thu Nov 19 13:59:52 +0000 2015,0,0,"RT: @d3mzu3e12ipm5 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
163,667341521365020673,Thu Nov 19 13:59:51 +0000 2015,0,0,"RT: @relaxoutthere @anastacia27_eli is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
164,667308526197338113,Thu Nov 19 11:48:45 +0000 2015,0,0,"RT: @DominaFitness is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
165,667292150837547009,Thu Nov 19 10:43:41 +0000 2015,0,0,"RT: @komikdegiloc @_myFacebookFeed is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
166,667276017514315776,Thu Nov 19 09:39:34 +0000 2015,0,0,"RT: @stylinsonshugsx is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
167,667276014582546432,Thu Nov 19 09:39:33 +0000 2015,0,0,"RT: @indiahoma @idukirara5 @pollymolly22 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
168,667259446616129536,Thu Nov 19 08:33:43 +0000 2015,0,0,"RT: @ao2odvggyn598n is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
169,667243195974090753,Thu Nov 19 07:29:09 +0000 2015,0,0,"RT: @ArtistsofDenver is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
170,667226753601896448,Thu Nov 19 06:23:49 +0000 2015,0,0,"RT: @t_meisuna @orobosewa is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
171,667226751634796544,Thu Nov 19 06:23:48 +0000 2015,0,0,"RT: @abbygirl_alaska @lugott9 @smeconnectng is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
172,667210559297720322,Thu Nov 19 05:19:28 +0000 2015,0,1,"RT: @facu_valoy01 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
173,667194008741900288,Thu Nov 19 04:13:42 +0000 2015,0,1,"RT: @Palla_Di_Pelo is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
174,667177697143971840,Thu Nov 19 03:08:53 +0000 2015,0,0,"RT: @LetsCroatia is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
175,667161410342793216,Thu Nov 19 02:04:10 +0000 2015,0,0,"RT: @kumardeepak1280 @MarkHainess is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
176,667145143070289921,Thu Nov 19 00:59:31 +0000 2015,0,0,"RT: @lacerda_tony @nehepuhitixi is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
